Facility Code,Facility Name,Province,County,District,Division,Type,Owner,Location,Sub Location,Description of Location,Constituency,Nearest Town,Beds,Cots,Official Landline,Official Fax,Official Mobile,Official Email,Official Address,Official Alternate No,Town,Post Code,In Charge,Job Title of in Charge,Open 24 Hours,Open Weekends,Operational Status,ANC,ART,BEOC,BLOOD,CAES SEC,CEOC,C-IMCI,EPI,FP,GROWM,HBC,HCT,IPD,OPD,OUTREACH,PMTCT,RAD/XRAY,RHTC/RHDC,TB DIAG,TB LABS,TB TREAT,YOUTH
13094,Mkunga Clinic,Nairobi,Nairobi,Embakasi North,Dandora,Medical Clinic,Private Enterprise (Institution),Dandora,Dandora,In Dandora Phase II opposite Dandora Primary School,KASARANI,Dandora phase II Market,6,0,,,,,,,,,Debora,Nursing Officer in Charge,N,N,Operational,,,,,,,,,Y,,Y,,Y,,,,,,,,,
18275,Mmak Embakasi Stand Alone VCT,Nairobi,Nairobi,Embakasi South,Embakasi,VCT Centre (Stand-Alone),Non-Governmental Organizations,Mukuru,Imara Daima,Near Nakumat Supermarket,EMBAKASI SOUTH, Imara Daima,0,0,,,,,,,,,,,N/A,N/A,Not-Operational,,,,,,,,,,,,,,,,,,,,,,
13095,Moi Air Base Hospital,Nairobi,Nairobi,Kamukunji,Eastleigh North,Other Hospital,Ministry of Health,Eastleigh Section I,,,KAMUKUNJI,Nairobi,0,0,,,,,,,,,,,N,N,Operational,,Y,,,,,Y,,Y,,,,Y,,,,,,,,,
13096,Mother & Child Hospital,Nairobi,Nairobi,Kamukunji,Eastleign South,Dispensary,Private Enterprise (Institution),Eastleigh Section 111,,Near the former KBS GARAGE 200mtrs on your right ,KAMUKUNJI,Eastleigh town,32,6,0206761082,,0722570363,mchospital08@yahoo.com,P.O Box 77918,020676059,Nairobi,00622,Florence Kiriamiti,Nursing Officer in Charge,Y,Y,Operational,,Y,,,,,,,Y,,Y,,Y,,,,,,,,,
19277,Mother & Child Meridian & Lab Services,Nairobi,Nairobi,Roysambu,Kasarani,Medical Clinic,Private Practice - General Practitioner,Githurai,Githurai,thika Road off kamiti RD  auncle sams bar,ROYSAMBU,Behind auncle sams bar ,0,0,,,,,,,,,Jeremiah makau,Medical Superintendant,N,Y,Operational,,,,,,,,,,,,,,,,,,,,,,
17724,Mother Ippolata Mukuru Clinic,Nairobi,Nairobi,Embakasi South,Embakasi,Dispensary,Kenya Episcopal Conference-Catholic Secretariat,Mukuru,Imara Daima,Near Nakumat Embakasi,EMBAKASI SOUTH,Mukuru,3,0,0722832732,,,,,,,,,Nursing Officer in Charge,N,N,Operational,,,,,,,,,,,,,,,,,,,,,,
13097,Mow Dispensary,Nairobi,Nairobi,Starehe,Makadara,Dispensary,Other Public Institution,Viwandani,Landi Mawe,Bunyara-Machakos Road,STAREHE,Commercial,0,0,,,,,P.O Box 42267,,Nairobi,00100,Sarah Muima,Nursing Officer in Charge,N,N,Operational,,Y,,,,,,,Y,,Y,,Y,,,,,,,,,
13098,Mp Shah Hospital (Westlands),Nairobi,Nairobi,Westlands,Parklands,Other Hospital,Private Enterprise (Institution),Parklands,,,WESTLANDS,Nairobi,0,0,03742763,,0722204427,info@mpshahhosp.org,P.O Box 14497,,Nairobi,00800,Afshan Magre,Hospital Director,Y,Y,Operational,,Y,,,,,Y,,Y,,Y,,Y,,,,,,,,,
20049,Msf- Green House Clinic,Nairobi,Nairobi,Kamukunji,Eastleigh North,Medical Clinic,Non-Governmental Organizations,Eastleigh,,near oil Lybia Petrol station along Juja road,KAMUKUNJI,3rd avenue melawa,3,0,0202400330,,0722363471,msf_mathare_fieldco@parismsf.org,P.O Box 39850,,Nairobi,00623,Peterson Mwaniki,,N,Y,Operational,,,,,,,,,,,,,,,,,,,,,,
20050,Msf- Lavender House Clinic,Nairobi,Nairobi,Kamukunji,Eastleigh North,Medical Clinic,Non-Governmental Organizations,Eastleigh,,Along Juja road,KAMUKUNJI,Along Juja road,3,0,0202400330,,,msf_mathare_fieldco@parismsf.org,P.O Box 39850,,Nairobi,00623,Peterson Mwaniki,,N/A,N/A,Operational,,,,,,,,,,,,,,,,,,,,,,
17651,Msf Olympic Centre,Nairobi,Nairobi,Kibra,Kibra,Medical Clinic,Non-Governmental Organizations,Sarang'ombe,,Within the Olympic Estate,KIBRA,Olympic Shopping Center,0,0,,,0733500101,msfocb-nairobi-kibera@brusselsmsf.org,P.O Box 388977,,Nairobi,00623,Zaina Ahmed Jama,,N,Y,Operational,,,,,,,,,,,,,,,,,,,,,,
17455,Mtaani VCT,Nairobi,Nairobi,Kibra,Kibra,VCT Centre (Stand-Alone),Community,Laini saba,Soweto Highrise,Across the railway line after Shadrack Kimalel Primary school on your way to Soweto,KIBRA,Laini saba market,0,0,,,0721977787,mtaanicentre@gmail.com,P.O Box 19656,072197787,Nairobi,00202,Titus Mungai,,N,Y,Operational,,,,,,,,,,,,,,,,,,,,,,
13025,Kesha VCT,Nairobi,Nairobi,Dagoretti North,Dagoretti North,VCT Centre (Stand-Alone),Private Enterprise (Institution),Kawangware,,,DAGORETTI NORTH,Nairobi,0,0,,,,,,,,,,,N,N,Operational,,,,,,,,,,,Y,,,,,,,,,,,
13037,Kmtc Dispensary,Nairobi,Nairobi,Kibra,Kibra,VCT Centre (Stand-Alone),Ministry of Health,Golfcourse,,,KIBRA,Kenyatta National Hospital,0,0,,,,,,,,,DR.BII,,N,N,Operational,,,,,,,,,,,,,,,,,,,,,,
20621,Kianda 42 Community Clinic,Nairobi,Nairobi,Kibra,Kibera,Dispensary,Ministry of Health,Sarang'ombe,Kianda,Next to Ushirika Medical Clinic.,KIBRA,,0,0,,,,,,,Nairobi,,Alice Shiundu,Nursing Officer in Charge,N,N,Operational,,,,,,,,,,,,,,,,,,,,,,
20325,Kibera CFW Clinic,Nairobi,Nairobi,Kibra,Kibra,Medical Clinic,Private Enterprise (Institution),Sarang'ombe,Olympic,50 Meters On the left after entering the Olympic Junction off Kibera Drive,KIBRA,Olympic,0,0,,,0710915918,hlarabi@cfwshops.org,P.O Box 1630,,Nairobi,00600,Hellen Larabi,Nursing Officer in Charge,N,N,Operational,,,,,,,,,,,,,,,,,,,,,,
12894,Kibera Chemi Chemi Ya Uzima Clinic,Nairobi,Nairobi,Kibra,Kibra,Dispensary,Christian Health Association of Kenya,Kibera,Makina,Near Lang'ata D.C's office,KIBRA,Nairobi,0,0,,,0720826723,,P.O Box 44128,,Nairobi,00100,,Nursing Officer in Charge,N,Y,Operational,,,,,,,,,Y,,,,Y,,,,,,,,,
13028,Kibera Community Health Centre - Amref,Nairobi,Nairobi,Kibra,Kibra,Health Centre,Non-Governmental Organizations,Laini Saba,Laini Saba,"Next to Christ the King Catholic Church Laini Saba,Near The Chiefs Office Laini Saba.",KIBRA,Ngumo Estate,4,0,,,,,P.O Box 30125,,Nairobi,,Hellen Wekesa,Nursing Officer in Charge,N,Y,Operational,,Y,,,,,,,Y,,Y,,Y,,,,,,,,,
13029,Kibera D O Dispensary,Nairobi,Nairobi,Kibra,Kibra,Dispensary,Ministry of Health,Kibera,Makina,Next to Lang'ata D.C's Office off Kibera drive,KIBRA,Nairobi,0,0,,,,,,,Nairobi,,Joyce Omune,Nursing Officer in Charge,N,N,Operational,,,,,,,,,Y,,Y,,Y,,,,,,,,,
18984,Kibera Highway Clinic,Nairobi,Nairobi,Kibra,Kibra,Medical Clinic,Private Practice - Clinical Officer,Lindi,Lindi,After the Lindi Mosque,KIBRA,,0,0,,,,,,,,,Vincent,Clinical Officer,N,Y,Operational,,,,,,,,,,,,,,,,,,,,,,
13026,Kibera Human Development Clinic,Nairobi,Nairobi,Kibra,Kibra,Medical Clinic,Non-Governmental Organizations,Kibera,Makina,Inside the ACK Holy Trinity Church next to the Makina stage,KIBRA,Toi Market,0,0,,,,,,,,,Stanley Simiyu,Clinical Officer,N,N,Operational,,,,,,,,,Y,,,,Y,,,,,,,,,
13030,Kibera South (Msf Belgium) Health Centre,Nairobi,Nairobi,Kibra,Kibra,Health Centre,Non-Governmental Organizations,Kibera,Lindi,Near Mashimoni Primary School,KIBRA,Lindi,10,0,,,0720115087,MsfB-Nairobi-kibera@brussels.org,P.O Box 388977,,Nairobi,00623,Charles Rono,Nursing Officer in Charge,N,N,Operational,,,,,,,,,Y,,Y,,Y,,,,,,,,,
21083,Kibera Ubuntu Afya Medical Centre,Nairobi,Nairobi,Kibra,,Medical Centre,Private Practice - General Practitioner,,,Along Soweto Highrise,KIBRA,,4,0,,,,,P.O Box 20880,,Nairobi,00202,Dr. Samson Gwer,Hospital Director,N,N/A,Operational,,,,,,,,,,,,,,,,,,,,,,
13031,Kie/Kapc,Nairobi,Nairobi,Starehe,Central,VCT Centre (Stand-Alone),Other Public Institution,Central Business District,,,STAREHE,Nairobi,0,0,,,,,,,,,,,N,N,Operational,,,,,,,,,,,Y,,,,,,,,,,,
13033,Kikoshep Kenya (Mugumoini),Nairobi,Nairobi,Langata,Langata,Medical Clinic,Non-Governmental Organizations,Mugumoini,Mugumoini,At Wilson Airport next to the Chief's office,LANG'ATA,Nairobi,0,0,020601881,,0722777361,kikoshep.anne@yahoo.com,P.O Box 49531,,Nairobi,00100,Sophie Donde,,N,N,Operational,,,,,,,,,Y,,Y,,Y,,,,,,,,,
13002,Kapu Medical Clinic,Nairobi,Nairobi,Embakasi East,Embakasi,VCT Centre (Stand-Alone),Ministry of Health,Embakasi,Utawala,Within Embakasi Police line,EMBAKASI EAST,Nairobi  Embakasi,0,0,,,,,P.O Box 19004,,Nairobi,00501,Eliud Karanja,Nursing Officer in Charge,N,N,Operational,,,,,,,,,Y,,Y,,Y,,,,,,,,,
20625,Karanja Road Community Clinic,Nairobi,Nairobi,Kibra,Kibra,Dispensary,Ministry of Health,Kibera,Makina,At Madrasa Tul Falah Opposite Masid Jamaa Salama Kibra.,KIBRA,,0,0,,,,,,,Nairobi,,Irene Iriah,Nursing Officer in Charge,N,N,Operational,,,,,,,,,,,,,,,,,,,,,,
13003,Karen Health Centre,Nairobi,Nairobi,Langata,Lang'ata,Dispensary,Local Authority,Karen,Karen,Near Karen Shopping Center next to the Karen Police station,LANG'ATA,Karen Shopping center,0,0,,,,,P.O Box 30108,,Nairobi,00100,Theresa Nderi,Nursing Officer in Charge,N,N,Operational,,Y,,,,,,,Y,,Y,,Y,,,,,,,,,
19100,Karengata Community Medical Centre,Nairobi,Nairobi,Langata,Lang'ata,Medical Clinic,Private Practice - Clinical Officer,Lang'ata,Lang'ata,Towards Catholic University off Langata Road.,LANG'ATA,,0,0,,,0722349465,gabrielgitwanja@yahoo.com,P.O Box 24297,,Nairobi,00502,Gabriel Irenge,Clinical Officer,N,N,Operational,,,,,,,,,,,,,,,,,,,,,,
13005,Kari Health Clinic,Nairobi,Nairobi,Westlands,Kitusuru,Medical Clinic,Ministry of Health,Kitusuru,,Inside Kenya Agricultural Research institute muguga,WESTLANDS,Kikuyu,0,0,0572507950,,,,P.O Box 30418,,Nairobi,00100,Shem Shikanda,Nursing Officer in Charge,N,N,Operational,,Y,,,,,,,Y,,Y,,Y,,,,,,,,,
18743,Kariobangi EDARP,Nairobi,Nairobi,Kasarani,kasarani,Dispensary,Kenya Episcopal Conference-Catholic Secretariat,Kariobangi,Kariobangi,Lite industries behind faulu,KASARANI,Lite industries behind faulu,0,0,,,0721915137,,,0722699211,,,Lucia Munuve,Nursing Officer in Charge,N,Y,Operational,,,,,,,,,,,,,,,,,,,,,,
13006,Kariobangi Health Centre,Nairobi,Nairobi,Kasarani,Kasarani,Dispensary,Local Authority,Kariobangi,,Behind market (city council market),KASARANI,Nairobi,0,0,,,,,P.O Box 3018,,Nairobi,00200,Sabastian Nyagah,Nursing Officer in Charge,N,N,Operational,,Y,,,,,,,Y,,Y,,Y,,,,,,,,,
17434,Kariobangi South Clinic,Nairobi,Nairobi,Embakasi West,Kariobangi South,Medical Clinic,Local Authority,Kariobangi South,Kariobangi South,From outering road along Mutarakwa road near Kariobangi south Chief's office. ,EMBAKASI WEST,Kariobangi South Market,0,0,,,,,P.O Box 30108,,Nairobi,00100,Magdaline Waihenya,Nursing Officer in Charge,N,N,Operational,,,,,,,,,,,,,,,,,,,,,,
13007,Kariokor Clinic,Nairobi,Nairobi,Starehe,Starehe,Dispensary,Local Authority,Kariokor,Ziwani,,STAREHE,Nairobi,0,0,,,,,P.O Box 30108,,Nairobi,00100,Stella Bosire,Nursing Officer in Charge,N,N,Operational,,Y,,,,,,,Y,,Y,,Y,,,,,,,,,
13008,Karma Dispensary,Nairobi,Nairobi,Kasarani,Kasarani,Dispensary,Private Enterprise (Institution),Ruaraka,,,KASARANI,Nairobi,0,0,,,,,,,,,,,N,N,Operational,,,,,,,,,,,Y,,,,,,,,,,,
17995,Karomo Medical Clinic,Nairobi,Nairobi,Kasarani,Kariobangi,Medical Clinic,Private Enterprise (Institution),Kariobangi South,Light Industries,Kariobangi South near Super Loaf Company,KASARANI,Kariobangi South,0,0,,,0727544245,,P.O Box 71406,,Nairobi,00622,William Karomo Murundu,Clinical Officer,N,N,Operational,,,,,,,,,,,,,,,,,,,,,,
13009,Karura Health Centre (Kiambu Rd),Nairobi,Nairobi,Westlands,Karura,Health Centre,Local Authority,Muthaiga,,Along Kiambu Road next to Kenya Forestry Limited,WESTLANDS,Nairobi,0,0,,,,,P.O Box 30108,,Nairobi,00100,Charles Mugo,Nursing Officer in Charge,N,N,Operational,,,,,,,,,Y,,,,Y,,,,,,,,,
17948,Kasarani Claycity Medical Centre (Kasarani),Nairobi,Nairobi,Kasarani,Kasarani,Dispensary,Private Practice - Unspecified,Kasarani,Kasarani,Kasarani -mwiki road Behind seasons supermarket,KASARANI,Kasarani,0,0,,,0721260994,nairobiclaycitymedical@yahoo.com,P.O Box 784,,Nairobi,00618,Susan w. Njagi,,Y,Y,Operational,,,,,,,,,,,,,,,,,,,,,,
13010,Kasarani Health Centre,Nairobi,Nairobi,Kasarani,Kasarani,Dispensary,Local Authority,Kariobangi,Kasarani,Kasarani -mwiki road just next to DCs offices,KASARANI,Nairobi,0,0,,,,,P.O Box 30108,,Nairobi,,Esther Gitau,Nursing Officer in Charge,N,N,Operational,,Y,,,,,,,,,Y,,,,,,,,,,,
13011,Kasarani Maternity,Nairobi,Nairobi,Kasarani,Kasarani,Maternity Home,Private Practice - Nurse / Midwife,Kasarani,,kasarani mwiki road next to Haco industries,KASARANI,Hunters,60,12,083694,,,,P.O Box 31524,,Nairobi,00600,Ann Mulinge,Nursing Officer in Charge,Y,Y,Operational,,,,,,,Y,,Y,,,,Y,,,,,,,,,
13012,Kasarani Medical Health Centre,Nairobi,Nairobi,Kasarani,Kasarani,Health Centre,Private Enterprise (Institution),Kasarani,near hunters,Thika Rd off mwiki rd,KASARANI,Nairobi,0,0,,,0722387665,,,,,,Jennifer Lengalei,Nursing Officer in Charge,N,N,Operational,,,,,,,,,Y,,,,,,,,,,,,,
13034,Kilimanjaro Nursing Home,Nairobi,Nairobi,Kamukunji,Eastleigh North,Nursing Home,Private Enterprise (Institution),Eastleigh Section I,,,KAMUKUNJI,Nairobi,11,0,,,,,,,,,,,N,N,Operational,,,,,,,,,,,,,,,,,,,,,,
19513,Kawangware Health Centre,Nairobi,Nairobi,Dagoretti North,Kawagware,Dispensary,Private Enterprise (Institution),Kawagware,kawagware,Near good sherphed academy,DAGORETTI NORTH,,0,0,,,,,,,,,,Nursing Officer in Charge,N,N,Operational,,,,,,,,,,,,,,,,,,,,,,
12996,Kahawa Garrison Health Centre,Nairobi,Nairobi,Roysambu,Kasarani,Health Centre,Ministry of Health,Kasarani,,,ROYSAMBU,Nairobi,0,0,,,,,,,,,,,N,N,Operational,,,,,,,,,Y,,,,Y,,,,,,,,,
12997,Kahawa West Health Centre,Nairobi,Nairobi,Roysambu,Kasarani,Health Centre,Local Authority,kahawa,kongo soweto,behind farmers choice,ROYSAMBU,kahawa market (city council market),24,4,,,,,P.O Box 30108,,Nairobi,,Caroline mbae,Nursing Officer in Charge,N,N,Operational,,Y,,,,,,,,,,,,,,,,,,,,
19541,Kaka Medical Centre (Race Course Rd),Nairobi,Nairobi,Starehe,Central,Medical Clinic,Private Practice - General Practitioner,Central,Central,Along racecourse Rd,STAREHE,Wakulima market,0,0,,,,,,,,,,,N,N,Operational,,,,,,,,,,,,,,,,,,,,,,
12998,Kaloleni Dispensary,Nairobi,Nairobi,Makadara,Makadara,Dispensary,Local Authority,Makogeni,Kaloleni,Along Jogoo Road At Shaurimoyo Stage Near Kaloleni Primary Next To Chiefs Office,MAKADARA,Kaloleni Shopping Centre,0,0,,,,,P.O Box P.O. Box 30108,,Nairobi,00100,Hellen Nyongesa,Nursing Officer in Charge,N,N,Operational,,,,,,,,,Y,,Y,,Y,,,,,,,,,
12999,Kaloleni Health Servics,Nairobi,Nairobi,Makadara,Makadara,Medical Clinic,Private Enterprise (Institution),Makogeni,Kaloleni,Off Jogoo Road Near City Staduim At Kaloleni Shopping Centre Kirima And Sons Building,MAKADARA,Nairobi,5,0,,,,,P.O Box P.O. Box 55483,,Nairobi,00100,Julius Muiruri Ngugi,Nursing Officer in Charge,Y,Y,Operational,,,,,,,,,Y,,Y,,Y,,,,,,,,,
13014,Kayole Hospital,Nairobi,Nairobi,Embakasi Central,Embakasi,Other Hospital,Private Enterprise (Institution),Kayole,Kayole,Near Imara Primary School Kayole,EMBAKASI CENTRAL,Nairobi,40,8,0202404445,,0710365753,Kayole hospitalhmuted@yahoo.com,P.O Box 67617,0722527952,,00200,Dr Mareko Machanga,,Y,Y,Operational,,,,,,,Y,,Y,,Y,,Y,,,,,,,,,
13015,Kayole I Health Centre,Nairobi,Nairobi,Embakasi Central,Embakasi,Health Centre,Local Authority,Kayole,Kayole,Kayole I  Next Kayole I Primary School,EMBAKASI CENTRAL,Kayole,24,1,,,,,P.O Box P.O. Box 30108,,Nairobi,00100,Josephine Otinya,Nursing Officer in Charge,N,N,Operational,,,,,,,,,Y,,Y,,Y,,,,,,,,,
13016,Kayole II Sub-District Hospital,Nairobi,Nairobi,Embakasi Central,Embakasi,Health Centre,Local Authority,Kayole,Kayole,Opposite Kayole Dc's Office,EMBAKASI CENTRAL,Nairobi,24,1,,,,,P.O Box P.O. Box 30108,,Nairobi,00200,Lilian Muiruri,Nursing Officer in Charge,Y,Y,Operational,,Y,,,,,,,Y,,Y,,Y,,,,,,,,,
19488,Kamili Organization,Nairobi,Nairobi,Westlands,Kitisuru,Medical Clinic,Non-Governmental Organizations,Kitisuru,,,WESTLANDS,same compound with lower kabete dispensary,0,0,,,,,,,,,,Nursing Officer in Charge,Y,N,Operational,,,,,,,,,,,,,,,,,,,,,,
18942,Kamiti Maximum Clinic,Nairobi,Nairobi,Roysambu,Kasarani,Medical Clinic,Ministry of Health,Kahawa,Kahawa,Thika Rd Off Kamiti Rd,ROYSAMBU,Nearer to Kahawa West Market,0,0,,,0711318686,,P.O Box 655514,0734843347,Kamiti,00607,Dr Isoye,,N,Y,Operational,,,,,,,,,,,,,,,,,,,,,,
13000,Kamiti Prison Hospital,Nairobi,Nairobi,Roysambu,Kasarani,Other Hospital,Ministry of Health,Ruaraka,,,ROYSAMBU,Nairobi,0,0,810121,,,,,,,,,,N,N,Operational,,Y,,,,,,,Y,,,,Y,,,,,,,,,
19369,Kamwitha Medcal Centre,Nairobi,Nairobi,Roysambu,Kasarani,Medical Clinic,Private Practice - General Practitioner,Githurai,Zimmerman,Thika road  off kamiti road  succes stage,ROYSAMBU,next roysambu primary sch,0,0,,,,,,,,,Gibson kinyua,Clinical Officer,N,Y,Operational,,,,,,,,,,,,,,,,,,,,,,
19536,Kangemi Gichagi Dispensary,Nairobi,Nairobi,Westlands,Kangemi,Dispensary,Private Practice - Clinical Officer,Kangemi,,,WESTLANDS,,0,0,,,,,,,,,,,Y,Y,Operational,,,,,,,,,,,,,,,,,,,,,,
13001,Kangemi Health Centre,Nairobi,Nairobi,Westlands,Kangemi,Health Centre,Local Authority,Kangemi,Kangemi,"Off Waiyaki Way, near PCEA, Harvest Church",WESTLANDS,Nairobi,20,0,,,,,,,Nairobi,, jesicca Iminyi,Nursing Officer in Charge,N,N,Operational,,Y,,,,,,,Y,,Y,,Y,,,,,,,,,
20095,Kipawa Medical Centre,Nairobi,Nairobi,Kasarani,Ruai,Medical Clinic,Private Practice - Nurse / Midwife,Ruai,Ruai,along kangundo road at kipawa shopping centre,KASARANI,Ruai,0,0,,,0724328222,,,,,,,Nursing Officer in Charge,N,Y,Operational,,,,,,,,,,,,,,,,,,,,,,
18488,Jacaranda Special School,Nairobi,Nairobi,Dagoretti North,Kileleshwa,Training Institution in Health (Stand-alone),Other Public Institution,kileleshwa,,,DAGORETTI NORTH,,0,0,,,,,P.O Box 43615,,Nairobi,00100,Margaret Gathatwa,Hospital Director,N,N,Operational,,,,,,,,,,,,,,,,,,,,,,
12983,Imperial Clinic,Nairobi,Nairobi,Starehe,Central,Medical Clinic,Private Enterprise (Institution),Ngara,,,STAREHE,Nairobi,0,0,,,,,,,,,,,N,N,Operational,,Y,,,,,,,,,Y,,,,,,,,,,,
19333,Index Medical Services,Nairobi,Nairobi,Roysambu,Kasarani,Medical Clinic,Private Practice - General Practitioner,Githurai,zimmerman,Thika road off kamiti road success stage,MATHARE,success stage,0,0,,,,,,,,,Paul mwanzi,Nursing Officer in Charge,N,Y,Operational,,,,,,,,,,,,,,,,,,,,,,
19458,Innercore Medical Clinic,Nairobi,Nairobi,Embakasi West,Umoja,Medical Clinic,Private Practice - Unspecified,Umoja,Umoja One,Opposite Umoja Health Centre,EMBAKASI WEST,,2,1,,,,,,,,,,Nursing Officer in Charge,N,Y,Operational,,,,,,,,,,,,,,,,,,,,,,
18002,Innoculation Centre,Nairobi,Nairobi,Starehe,City Square,Dispensary,Local Authority,Central Business District,,Situated withinCity Hall Building(1st Froor),STAREHE,Nairobi,0,0,,,,,P.O Box 30108,,Nairobi,00100,Jenniffer Adhiambo,Nursing Officer in Charge,N,N,Operational,,,,,,,,,,,,,,,,,,,,,,
20158,IOM International Organization for migration(girigiri),Nairobi,Nairobi,Westlands,Kitisuru,Health Programme,Humanitarian Agencies,Girigiri,Girigiri,"Off United Nations Avenue,Girigiri",WESTLANDS,Village market,0,0,,,,,,,Nairobi,,,,N/A,N/A,Operational,,,,,,,,,,,,,,,,,,,,,,
19471,Iom Wellness Clinic,Nairobi,Nairobi,Kamukunji,Eastleigh North,Medical Clinic,Non-Governmental Organizations,Eastleigh North,Eastleigh,Near Equity Bank Eastleigh,KAMUKUNJI,Garissa Lodge,2,0,,,,,,,,,,,N,N,Operational,,,,,,,,,,,,,,,,,,,,,,
20227,Iran Medical Clinic,Nairobi,Nairobi,Kibra,Woodley,Dispensary,Non-Governmental Organizations,Woodley,Adams,Opposite Shell Petrol Station,KIBRA,,0,0,,,,,,,,,Rebeccah Otiende,Nursing Officer in Charge,N,N,Operational,,,,,,,,,,,,,,,,,,,,,,
19421,Iran Medical Clinic (Ngara),Nairobi,Nairobi,Starehe,Ngara,Medical Clinic,Private Practice - Unspecified,Ngara ,Ngara West,Situated opposite Ngara Health Centre,STAREHE,Ngara Market,0,0,,,,,,,,,,,N,N,Operational,,,,,,,,,,,,,,,,,,,,,,
21223,Jalaram Medical Services,Nairobi,Nairobi,Westlands,Parklands/Highridge,Medical Clinic,Other Faith Based,,,Near Oval Center,WESTLANDS,"19 Jalaram Road Off Ring Road, Parklands near Oval Center",0,0,0203515953,,0772422870,clinics@jalaramnairobi.org,P.O Box 39180,,nairobi,00623,Dr. Harish Rupani,Hospital Director,N/A,Y,Operational,,,,,,,,,,,,,,,,,,,,,,
12984,Jamaa Mission Hospital,Nairobi,Nairobi,Makadara,Makadara,Other Hospital,Kenya Episcopal Conference-Catholic Secretariat,Makadara,Harambee,Uhuru Estate Off Rabai Road,MAKADARA,Buruburu Shopping Centre,63,8,0207786547,02547781591,0722681534,jamma@edelvaletrust.org,P.O Box 17153,0733535354,Nairobi,00510,Sr Jacinta M Nzele,Nursing Officer in Charge,Y,Y,Operational,,Y,,,,,Y,,,,Y,,Y,,,,,,,,,
12985,Jamii Clinic (Westlands),Nairobi,Nairobi,Westlands,Kitsuru,Medical Clinic,Private Enterprise (Institution),Kikuyu,,,WESTLANDS,Nairobi,0,0,,,,,,,,,,,N,N,Operational,,,,,,,Y,,Y,,,,Y,,,,,,,,,
19446,Jamii Medical Clinic Mukuru,Nairobi,Nairobi,Embakasi South,Mukuru,Medical Clinic,Private Practice - Unspecified,,Mukuru,Near kobil on way to Mother Ipolita Dispensary,EMBAKASI SOUTH,Kobil Mukuru,2,1,,,,,,,,,,Clinical Officer,Y,Y,Operational,,,,,,,,,,,,,,,,,,,,,,
12986,Jamii Medical Hospital,Nairobi,Nairobi,Roysambu,Kasarani,Other Hospital,Private Enterprise (Institution),Githurai,,,ROYSAMBU,Nairobi,0,0,,,,,,,,,,,N,N,Operational,,,,,,,,,,,Y,,Y,,,,,,,,,
19433,Jamii Yadah Medical Centre,Nairobi,Nairobi,Embakasi East,Embakasi,Health Centre,Private Practice - General Practitioner,Utawala,Utawala,Eastern Bypass Utawala Juction,EMBAKASI EAST,Utawala,4,2,0203500308,,0722899066,odongorays@jyma.co.ke,P.O Box 22329,,Nairobi,00400,Ojwang Rays,,N,Y,Operational,,,,,,,,,,,,,,,,,,,,,,
20064,Jeffrey Medical & Diagnostic Centre,Nairobi,Nairobi,Dagoretti North,Kawangware,Dispensary,Private Practice - General Practitioner,Kawangware,Kawangware,Co-perative Bank 46 Branch,DAGORETTI NORTH,Stage 46,0,0,,,0700344703,terry.off@hotmail.com,P.O Box 2362-00600,,,00600,Therese officer,Hospital Director,N,Y,Operational,,,,,,,,,,,,,,,,,,,,,,
19490,Jellin Medical Clinic,Nairobi,Nairobi,Dagoretti North,Kawagware,Dispensary,Private Practice - Nurse / Midwife,Kawagware,,Near riruta h/c,DAGORETTI NORTH,,0,0,,,,,,,,,,Nursing Officer in Charge,N,Y,Operational,,,,,,,,,,,,,,,,,,,,,,
12987,Jerapha Maternity,Nairobi,Nairobi,Roysambu,Kasarani,Maternity Home,Private Enterprise (Institution),Korogocho,,,ROYSAMBU,Nairobi,0,0,,,,,,,,,,,N,N,Not-Operational,,,,,,,,,Y,,,,Y,,,,,,,,,
12988,Jericho Health Centre,Nairobi,Nairobi,Makadara,Makadara,Dispensary,Local Authority,Jericho-Lumumba,Jericho,Off Jogoo Road Nile Road Then Lumumba charles Road,MAKADARA,Jericho Shopping Centre,0,0,,,,,P.O Box P.O. Box 30108,,Nairobi,00100,Margaret M Njeru,Nursing Officer in Charge,Y,Y,Operational,,Y,,,,,,,Y,,Y,,Y,,,,,,,,,
12989,Jerusalem Clinic,Nairobi,Nairobi,Embakasi West,Pumwani,Medical Clinic,Local Authority,Bahati,,Jerusalem shopping center,EMBAKASI WEST,Jerusalem shopping center,0,0,,,,,,,,,Pamella Kwasi,Nursing Officer in Charge,N,N,Operational,,Y,,,,,Y,,Y,,Y,,Y,,,,,,,,,
19548,Jesus Is Alive Dental Clinic (Nairobi),Nairobi,Nairobi,Starehe,Central,Dental Clinic,Private Practice - Unspecified,Central,Central,Located along Harambee Avenue,STAREHE,City Market,0,0,,,,,,,,,,,N/A,N/A,Operational,,,,,,,,,,,,,,,,,,,,,,
18672,Jeytee,Nairobi,Nairobi,Kasarani,Kasarani,Medical Clinic,Private Enterprise (Institution),kasarani,Kasarani,off Thika rd Kasarani-mwiki (garage stage),KASARANI,Near Sunton,0,0,,,0718620300,kkriss2003@yahoo.com,P.O Box 104,0731868011,othaya,,Christine Kinyua,Nursing Officer in Charge,N,N,Operational,,,,,,,,,,,,,,,,,,,,,,
